group,x,count
A,1.405381825144631,2
A,-0.8947270189558264,1
A,0.6433267946890444,1
B,-0.3946051228595896,1
A,-0.005121866720071296,1
B,-0.16344289852451258,2
A,0.33757454879893356,0
B,1.4074818613137168,5
A,0.09058490690174555,5
A,0.6439387932768579,1
B,-2.0501721010310225,4
B,-0.04871840193011795,4
A,-0.8432302702928711,1
B,-1.218813060423628,1
A,-0.8781523669287508,2
B,-0.33412344070081207,1
B,0.9159025423560131,7
A,-1.326392717739564,2
B,0.030631492594417446,4
A,-0.4841694333335785,0
A,-0.32767309436196085,0
A,1.0027578253046041,1
A,0.5381154370039261,3
B,1.3373981074427437,4
A,-0.15450567924990047,1
A,-0.695942611670703,0
B,-0.22385881688049952,5
A,0.2424967912712216,3
B,0.17657335845371103,8
A,-1.0843880722333665,2
B,0.09048978162787422,2
B,0.22822833013890514,2
B,2.5174740375339204,6
A,1.8768446112816701,2
A,-0.8532433505588201,3
B,-0.2873833615491761,4
A,-1.4634420018370031,0
B,-0.5907070139634865,2
A,0.3156050035903405,5
B,1.2058536208882336,4
B,-0.7290838377436085,2
A,-0.6541464400677965,1
A,-2.147289029738655,0
B,-0.16266592054490767,4
A,-1.062414411859563,0
B,-0.5294394273660737,5
A,-0.8768607781675882,1
B,-0.09426255425255699,7
B,-1.7577283913566313,3
A,-1.4670452453909906,0
B,2.129247112028298,6
A,-1.287422581274031,2
B,-1.0967855784546396,1
A,1.836913528321314,5
A,2.905067169240407,8
A,-1.1715666288253417,4
A,-0.36824895678803055,2
A,0.34155555094050954,0
B,1.7286976444055924,8
A,-0.9868570784282374,4
B,-0.24527784594210975,1
A,0.777337576061744,0
A,0.43476607446661863,6
B,-0.37615607123009925,3
B,-0.13382296451604114,2
A,-1.3748958083699818,2
A,-0.23817374397466523,1
B,-0.2663874900089551,4
B,0.23216988962625595,3
B,-0.555327218819016,5
A,0.471538522545139,0
A,1.0127158178198286,4
B,0.15542932766846604,4
B,0.35175640839920347,1
A,0.053155347577867364,2
A,8.439309141418043e-05,3
A,-0.7215580335428474,1
B,0.316494261673308,5
A,-0.09728659841348947,1
A,2.093168308930595,2
A,1.5733549024752425,5
B,0.3858465525565008,8
A,-0.7630572096947675,3
A,-1.112411471983418,0
A,1.191142953088865,2
A,0.2627492251471385,1
B,0.4801434033916108,3
A,-1.7445859869741926,0
A,0.9274384815581808,1
B,0.45442033821436295,4
A,-1.110430684414478,0
B,-0.47152480744994896,2
B,0.2637172043565196,6
A,0.05246679835624363,1
B,-0.292171185803555,3
A,-0.10348826806596086,1
B,-0.25197737820688537,3
A,0.15256251210246857,0
B,1.471491972993157,2
B,-2.5666584409312976,0
B,-0.23685026450968424,2
A,0.17651242137244696,3
A,0.2959939896870995,2
A,-0.37191458132128985,2
A,-1.7567217824785826,2
B,0.32799548371410964,6
A,1.727350214164185,2
B,-1.5338614049161376,0
B,0.8638280136981883,1
A,-0.3285252231228939,0
A,-0.0613243458288473,3
B,-1.052898510703949,2
A,-0.33445617235587666,0
A,1.3000445946989585,2
B,0.582655241987707,1
B,1.732311605409944,3
A,1.1774118889776937,4
A,0.4390866789295762,0
A,1.743934526167792,4
B,0.43899315873829875,5
B,0.8279881767970589,8
B,-0.29657095353470836,3
B,0.06654581585920483,5
B,-0.6974238233002769,3
A,0.989583934594853,4
A,-1.1783036231148656,3
B,0.7823503424176613,4
B,-0.19065105750515945,2
B,1.1712470934673194,8
A,0.7508689887312598,3
A,1.8206461576468016,2
A,0.7307746911386448,1
A,-1.5720402556532407,0
B,-0.06695317289820084,2
B,-1.172007192594816,3
A,-0.5182798423662747,0
A,1.5112284332767216,2
B,0.637533810897696,4
A,-0.6989304285787463,0
B,-1.013717366440399,2
B,0.03278209287626079,6
A,-1.2165601493811278,0
A,-0.6711402773965811,1
B,0.31200947155124387,4
B,1.1553120361066962,6
A,0.6087614722244398,2
B,-2.2912895085981,1
B,0.3043667290302598,4
B,0.07203357323257792,6
A,0.41389028537269307,1
B,1.6162096816512073,8
B,-2.063238276804743,1
A,-0.5911034251911056,0
A,0.5909063227933546,3
B,-1.5815943994539423,2
A,1.475949048053509,0
A,0.3683566127006584,0
A,0.846583985843404,3
B,-0.5709436615217945,2
B,0.8137636899662105,7
A,1.0684715559890383,4
B,0.23287802013716835,4
A,0.23440089269869593,2
B,0.2703432392817259,2
B,-0.8633452647393817,4
B,-0.14752868024035293,5
A,-0.1525225324523588,0
B,0.3833938643534951,3
A,0.9998242469102946,5
B,-1.0585360819784093,4
A,-0.12500903031957764,3
A,1.4814555476589732,3
A,-0.7435882288125641,0
B,-0.8222500172903203,2
A,0.20230619183119358,1
B,0.8443851904853201,5
A,0.01142605556065933,0
A,1.3289605904369892,1
B,0.8567939825665268,7
A,0.8418200668900618,2
B,0.5541165013240933,3
B,2.327653100346085,11
A,-0.2051616888660442,7
A,-2.003522292066514,1
A,1.604254361517141,2
B,-0.45769943095682564,4
B,0.10788044434303304,1
A,1.309550684860527,3
A,-1.6022595410589253,1
A,-1.2516472141061394,2
A,-1.6012779371188537,0
B,-0.7941362900254239,4
B,0.43963660601699356,5
A,0.524187842812771,2
B,0.27627417932855375,7
A,-1.4127658838923665,2
A,-2.310103436632644,1
B,0.054353585390382264,2
B,-0.47177603363833576,7
B,0.45938577171661177,3
