subject,group,time,y
1,control,0,9.049
1,control,1,12.235
1,control,2,13.02
2,treatment,0,4.145
2,treatment,1,9.29
2,treatment,2,11.624
3,control,0,8.687
3,control,1,11.785
3,control,2,12.133
4,treatment,0,11.823
4,treatment,1,13.833
4,treatment,2,14.843
5,control,0,9.299
5,control,1,12.555
5,control,2,11.663
6,treatment,0,8.609
6,treatment,1,14.464
6,treatment,2,15.398
7,control,0,8.615
7,control,1,10.442
7,control,2,10.692
8,treatment,0,11.472
8,treatment,1,17.038
8,treatment,2,16.216
9,control,0,7.755
9,control,1,10.399
9,control,2,11.669
10,treatment,0,8.512
10,treatment,1,11.535
10,treatment,2,16.748
11,control,0,12.301
11,control,1,10.988
11,control,2,12.835
12,treatment,0,10.561
12,treatment,1,14.541
12,treatment,2,16.569
13,control,0,11.459
13,control,1,12.292
13,control,2,13.305
14,treatment,0,6.606
14,treatment,1,9.38
14,treatment,2,12.127
15,control,0,11.692
15,control,1,8.651
15,control,2,11.902
16,treatment,0,6.132
16,treatment,1,9.878
16,treatment,2,13.514
17,control,0,12.612
17,control,1,11.399
17,control,2,11.729
18,treatment,0,11.429
18,treatment,1,12.802
18,treatment,2,16.016
19,control,0,8.907
19,control,1,8.875
19,control,2,10.197
20,treatment,0,9.383
20,treatment,1,13.084
20,treatment,2,14.681
21,control,0,9.921
21,control,1,10.869
21,control,2,11.341
22,treatment,0,8.339
22,treatment,1,9.904
22,treatment,2,13.627
23,control,0,11.631
23,control,1,12.46
23,control,2,11.814
24,treatment,0,9.034
24,treatment,1,9.622
24,treatment,2,12.983
