group,y
A,14.318
A,1.016
A,0.0
A,19.685
A,1.077
A,0.0
A,6.347
A,0.0
A,3.138
A,0.533
A,0.0
A,0.0
A,3.191
A,0.821
A,0.0
A,12.269
A,6.175
A,3.066
A,3.397
A,8.276
A,5.872
A,2.719
A,0.0
A,3.713
A,1.544
A,2.606
A,0.0
A,0.173
A,1.422
A,7.396
A,1.816
A,0.0
A,2.062
A,7.218
A,5.101
A,0.0
A,4.461
A,15.905
A,3.128
A,0.0
B,5.09
B,0.0
B,2.281
B,4.614
B,2.07
B,0.0
B,6.97
B,6.546
B,6.805
B,6.886
B,2.668
B,9.364
B,2.966
B,6.853
B,10.565
B,20.141
B,2.311
B,0.0
B,5.806
B,2.358
B,2.076
B,3.118
B,0.0
B,0.0
B,7.191
B,2.755
B,4.877
B,2.233
B,10.318
B,2.725
B,1.627
B,5.641
B,9.428
B,0.0
B,1.309
B,8.101
B,0.0
B,5.309
B,4.938
B,11.298
C,0.0
C,4.617
C,7.174
C,6.355
C,10.545
C,8.838
C,0.0
C,12.245
C,0.0
C,5.634
C,0.0
C,0.0
C,5.931
C,2.894
C,4.058
C,2.344
C,0.0
C,6.581
C,2.978
C,2.483
C,5.857
C,6.984
C,4.062
C,5.522
C,10.361
C,17.087
C,11.893
C,6.451
C,2.665
C,3.708
C,0.0
C,4.256
C,12.937
C,5.141
C,6.589
C,2.32
C,11.096
C,0.0
C,8.57
C,9.145
